i,version,commits,inserts,deletes
0,v5.1,64,19187,5214
1,v5.2,26,1350,911
2,v5.3,24,1343,420
3,v5.4,55,3058,1243
4,v5.5,165,20462,13083
5,v5.6,120,14430,7494
6,v5.7,105,4698,2522
7,v5.8,87,2846,1661
8,v5.9,180,12868,7392
9,v5.10,135,35137,21948
10,v5.11,123,4461,2730
11,v5.12,262,22842,16190
12,v5.13,181,4050,3388
13,v5.14,115,2300,1888
14,v5.15,139,4655,2520
15,v5.16,135,7982,4813
16,v5.17,53,5796,2981
17,v5.18,108,3583,1954
18,v5.19,213,11537,5589
19,v6.0,275,61862,46943
20,v6.1,127,12399,7019
21,v6.2,111,2649,1339
22,v6.3,109,14715,8546
23,v6.4,108,14538,8388
24,v6.5,71,101143,26690
25,v6.6,84,2759,4317
26,v6.7,80,11876,3611
27,v6.8,44,2515,2299
28,v6.9,89,14838,8372
29,v6.10,131,7538,6475
30,v6.11,67,2105,950
31,v6.12,79,7063,4499
32,v6.13,109,10176,7030
